iter	RMSE
0	16.13227201
1	15.3483636
2	14.59888369
3	13.90116237
4	13.22891977
5	12.59264977
6	11.98524239
7	11.40402853
8	10.86396311
9	10.34488889
10	9.840896195
11	9.36680747
12	8.92072324
13	8.491053993
14	8.078948314
15	7.687315663
16	7.3233051
17	6.976395516
18	6.642491183
19	6.321720884
20	6.019791359
21	5.731042291
22	5.459035187
23	5.202343969
24	4.9576262
25	4.720222784
26	4.497635101
27	4.283219591
28	4.080307269
29	3.88738078
30	3.703391372
31	3.530031493
32	3.363784448
33	3.209025978
34	3.058443092
35	2.915407329
36	2.781451211
37	2.654206178
38	2.533488784
39	2.419266175
40	2.309696098
41	2.204895002
42	2.10375987
43	2.009671353
44	1.918253732
45	1.83299202
46	1.750339592
47	1.673502268
48	1.600171126
49	1.530271802
50	1.46409903
51	1.399456106
52	1.338261461
53	1.281919204
54	1.226717364
55	1.175116004
56	1.125577013
57	1.078347871
58	1.03462509
59	0.9927639601
60	0.9532802112
61	0.914776377
62	0.8789313385
63	0.8444938516
64	0.8120579136
65	0.7812750739
66	0.7524773686
67	0.7250796132
68	0.6987468762
69	0.6737878168
70	0.650052191
71	0.6278172635
72	0.6069312995
73	0.5865511245
74	0.5657823262
75	0.5460328895
76	0.5288388711
77	0.5127178902
78	0.4959987213
79	0.4793821721
80	0.4655444156
81	0.4507634573
82	0.4383481772
83	0.425197332
84	0.412772945
85	0.4021158683
86	0.389891974
87	0.3802817448
88	0.3708195749
89	0.3607071103
90	0.3504791437
91	0.3426250768
92	0.3353058986
93	0.3284905592
94	0.3199630006
95	0.3138110151
96	0.3078364904
97	0.3005103718
98	0.2933439513
99	0.2882431126
100	0.2816246045
101	0.2754534421
102	0.2708526656
103	0.2667125146
104	0.260347715
105	0.2565368459
106	0.2529423038
107	0.2471531405
108	0.2424224273
109	0.2392875162
110	0.2341571412
111	0.2303032801
112	0.227461032
113	0.2246463912
114	0.2222576703
115	0.2182711903
116	0.2155587885
117	0.2133192679
118	0.2100254998
119	0.2069026069
120	0.2049873025
121	0.2019596608
122	0.1980553889
123	0.1963801158
124	0.1935869692
125	0.1917210744
126	0.1895064728
127	0.1868302831
128	0.1839434466
129	0.1824778862
130	0.1807269736
131	0.1787278226
132	0.1763704297
133	0.1741701683
134	0.1725616652
135	0.170557591
136	0.1675399231
137	0.1657744757
138	0.1646271644
139	0.1629726747
140	0.1603555635
141	0.1585687651
142	0.1578531767
143	0.1552509742
144	0.154415207
145	0.153819698
146	0.1515046193
147	0.1506900536
148	0.149001823
149	0.1472660731
150	0.1467723364
151	0.1461876357
152	0.143965126
153	0.1432086882
154	0.1424834321
155	0.1413933314
156	0.1404449458
157	0.1400008475
158	0.1382670958
159	0.1373090241
160	0.136263257
161	0.1348714652
162	0.1340242428
163	0.1330360962
164	0.1325973634
165	0.1319140936
166	0.1307919637
167	0.1303826636
168	0.1299614711
169	0.1294061046
170	0.1291229193
171	0.1276733332
172	0.127313098
173	0.1266571676
174	0.1260311118
175	0.1248417907
176	0.1236372014
177	0.1219883951
178	0.1213559322
179	0.12010358
180	0.1198357066
181	0.1187826195
182	0.1183850449
183	0.1177383978
184	0.1166548719
185	0.1161409115
186	0.1159123271
187	0.1146250882
188	0.1142891191
189	0.1138325353
190	0.1133431094
191	0.1124370433
192	0.1122055789
193	0.1118630487
194	0.110926057
195	0.1105102408
196	0.1094284587
197	0.1085510689
198	0.1081507792
199	0.1076421562
200	0.1073678849
201	0.1062329619
202	0.1058633715
203	0.1052798899
204	0.1047360823
205	0.1042889566
206	0.1035152848
207	0.103337165
208	0.1029072924
209	0.10196935
210	0.1014442177
211	0.101257164
212	0.1003557794
213	0.1001011847
214	0.09917755218
215	0.09898222439
216	0.09818422881
217	0.0980206475
218	0.09713440562
219	0.09686272395
220	0.09654462153
221	0.09553772496
222	0.09529292808
223	0.0950045944
224	0.09483819017
225	0.09465889583
226	0.09451607697
227	0.09409393775
228	0.09339555282
229	0.0932407946
230	0.09261731894
231	0.0922649488
232	0.09186070835
233	0.09145989101
234	0.09126871171
235	0.09093480708
236	0.090613391
237	0.0898944334
238	0.08926495125
239	0.08910751612
240	0.08885301108
241	0.0885337345
242	0.08840163973
243	0.08810085873
244	0.08798128045
245	0.08741200753
246	0.08687544263
247	0.08657547042
248	0.08611796674
249	0.0858272164
250	0.08529881208
251	0.08491083818
252	0.08434379361
253	0.08421096534
254	0.08394104949
255	0.08343542141
256	0.08325049732
257	0.08298133391
258	0.08286409098
259	0.08274356451
260	0.08252702706
261	0.0819999177
262	0.08188461206
263	0.08162447652
264	0.08124965871
265	0.08096718386
266	0.08072331667
267	0.08009225358
268	0.08002135946
269	0.07957338848
270	0.07922686048
271	0.07900946111
272	0.07847854398
273	0.07791347975
274	0.07767753991
275	0.07758786239
276	0.07748900311
277	0.07696074788
278	0.07673863117
279	0.07655654488
280	0.07647336141
281	0.07629490793
282	0.07620391794
283	0.0758114224
284	0.07550957917
285	0.07541033889
286	0.07490233855
287	0.07440551975
288	0.07430924094
289	0.07421611533
290	0.07380239235
291	0.0732375643
292	0.07310546579
293	0.07272323593
294	0.07225063588
295	0.07212544784
296	0.07198594001
297	0.07179807242
298	0.07160166514
299	0.07148744857
300	0.07131022565
301	0.07086996097
302	0.07069335811
303	0.07061676854
304	0.06997148311
305	0.06940008381
306	0.06923442644
307	0.06907187083
308	0.06853477149
309	0.06836985455
310	0.06798316391
311	0.06782813111
312	0.06775831015
313	0.06719255796
314	0.06703170164
315	0.06654790169
316	0.06645350278
317	0.06630561744
318	0.06614159997
319	0.06564180861
320	0.06519307942
321	0.06509339523
322	0.064998352
323	0.06490357976
324	0.06480717356
325	0.06474397891
326	0.06421807429
327	0.0641245141
328	0.06403460942
329	0.06396436731
330	0.06389634819
331	0.06383581011
332	0.06332113102
333	0.06323702466
334	0.06310072499
335	0.06302636398
336	0.06294927469
337	0.06239998501
338	0.06222799947
339	0.06216783393
340	0.06210948885
341	0.06203783567
342	0.06169514619
343	0.06163928099
344	0.06114606015
345	0.06081008734
346	0.06040233472
347	0.06033798536
348	0.06024256125
349	0.06017481696
350	0.05985642289
351	0.05947252451
352	0.05938043917
353	0.05932920382
354	0.059289484
355	0.05925128044
356	0.05878097651
357	0.05871701112
358	0.05868025874
359	0.05864488655
360	0.05835715137
361	0.05832295258
362	0.05798594277
363	0.05792276739
364	0.05788922149
365	0.05782988701
366	0.05771628076
367	0.05758410303
368	0.05746784614
369	0.05743629214
370	0.05704927303
371	0.05701373072
372	0.05698022641
373	0.05674550917
374	0.05671416814
375	0.05650076074
376	0.05646985642
377	0.05604026942
378	0.05570474382
379	0.05567438933
380	0.05564667482
381	0.05561385456
382	0.05541550065
383	0.05536040785
384	0.05531446273
385	0.05525988098
386	0.05522284269
387	0.05492256703
388	0.05466047625
389	0.05427444355
390	0.05424830875
391	0.0542099229
392	0.0541647403
393	0.05387562993
394	0.05385709786
395	0.05362309959
396	0.05327238712
397	0.05322842481
398	0.05318652646
399	0.05291625765
400	0.05278646954
401	0.05253045645
402	0.05240365126
403	0.05222694213
404	0.05211568365
405	0.05197781328
406	0.05195981643
407	0.05171909764
408	0.05143833155
409	0.0513129473
410	0.05123274348
411	0.0509826113
412	0.05072650105
413	0.0505945318
414	0.05045370366
415	0.05031217823
416	0.05008788512
417	0.05003298242
418	0.04986417541
419	0.04979806703
420	0.04967614415
421	0.04940004554
422	0.04936753822
423	0.04929908912
424	0.04922686171
425	0.04919655747
426	0.04907388924
427	0.04894325589
428	0.04869339333
429	0.0486630561
430	0.0486312781
431	0.04851042407
432	0.0482723772
433	0.04816082071
434	0.04790397833
435	0.04770095207
436	0.04766696919
437	0.04744983118
438	0.04742500732
439	0.04731696335
440	0.04721055428
441	0.04711110993
442	0.04700645222
443	0.04690418017
444	0.04667360091
445	0.0463298103
446	0.0462401795
447	0.04620127092
448	0.046092598
449	0.04606506946
450	0.04602914477
451	0.04599395732
452	0.04590538288
453	0.04581833866
454	0.04573440191
455	0.04552050086
456	0.04549107569
457	0.04545282549
458	0.04541980137
459	0.04534194933
460	0.04532752593
461	0.04523638905
462	0.04503988191
463	0.04501372586
464	0.04498627192
465	0.04484924932
466	0.04482291836
467	0.04480966215
468	0.04479690331
469	0.04468096027
470	0.04444340096
471	0.04433933464
472	0.04431395982
473	0.04428937407
474	0.04421491458
475	0.04419762553
476	0.04412157938
477	0.0441062136
478	0.04408332313
479	0.04406705688
480	0.04404941683
481	0.04397892171
482	0.04375637866
483	0.04357515944
484	0.04354285883
485	0.04337275418
486	0.04310650411
487	0.04292154455
488	0.04288998516
489	0.04272516954
490	0.04269470473
491	0.04266196751
492	0.04244226406
493	0.04232317995
494	0.04229327681
495	0.0422392886
496	0.04220828889
497	0.04213141533
498	0.04207848979
499	0.04197045318
500	0.0418623505
501	0.0417613376
502	0.04160301414
503	0.04151847242
504	0.04146731404
505	0.04135265171
506	0.04113829929
507	0.04103321032
508	0.04099624624
509	0.04097466388
510	0.04075688834
511	0.04055894511
512	0.04045997114
513	0.04021032695
514	0.04011555893
515	0.04006848347
516	0.04003334591
517	0.03994242179
518	0.03989443173
519	0.03979053585
520	0.03970356805
521	0.03966945122
522	0.03963685731
523	0.03940359053
524	0.03935527917
525	0.03926913826
526	0.03918204214
527	0.03914490077
528	0.03901296742
529	0.0388626609
530	0.03877052882
531	0.03867941422
532	0.03855846446
533	0.03833922534
534	0.0382653829
535	0.03822259325
536	0.03820721653
537	0.03811790988
538	0.03782242762
539	0.03780780921
540	0.03768567871
541	0.0374180356
542	0.03715528381
543	0.03705899528
544	0.03679703798
545	0.03659144453
546	0.03645034784
547	0.03631859292
548	0.03616756916
549	0.0361187674
550	0.03606566946
551	0.03595935393
552	0.03591351705
553	0.03583426109
554	0.03576663073
555	0.03559623929
556	0.03551686696
557	0.03531715468
558	0.0352521909
559	0.03502307898
560	0.03495040058
561	0.03489730707
562	0.03487749839
563	0.03473346514
564	0.03463848795
565	0.03451425415
566	0.03444277398
567	0.03432364328
568	0.03420513931
569	0.03405546387
570	0.03394394322
571	0.03381114593
572	0.03374310332
573	0.0336603151
574	0.03355346974
575	0.03350514262
576	0.03339358603
577	0.03332967278
578	0.03328758134
579	0.03316787408
580	0.03312714301
581	0.03308114292
582	0.0330383463
583	0.03296199663
584	0.03283432924
585	0.03273396957
586	0.03270583234
587	0.03267850731
588	0.03264342733
589	0.03262152069
590	0.032548285
591	0.03252723563
592	0.03246930635
593	0.03242533651
594	0.03235791889
595	0.0322169548
596	0.03217487424
597	0.03210548319
598	0.03205559798
599	0.03190940348
600	0.03181264864
601	0.03165325807
602	0.03150859163
603	0.03138074184
604	0.03131072516
605	0.03124556911
606	0.03114745405
607	0.0310639818
608	0.03097763486
609	0.03086287353
610	0.03080149229
611	0.03076884134
612	0.0307567251
613	0.03072979236
614	0.03065474689
615	0.0306361052
616	0.03050425718
617	0.03049313748
618	0.03046404851
619	0.03041943713
620	0.03034390316
621	0.03032603921
622	0.03025652143
623	0.03023621336
624	0.03013025361
625	0.03003084562
626	0.03001444012
627	0.02999498043
628	0.02993401376
629	0.029857535
630	0.02976783577
631	0.02969374487
632	0.02966097479
633	0.02960533905
634	0.02952245147
635	0.02947800609
636	0.02937701737
637	0.02930414176
638	0.02927285596
639	0.02920546225
640	0.02914788301
641	0.02908237574
642	0.02904001017
643	0.02902063663
644	0.02896132848
645	0.02890838496
646	0.0288543018
647	0.02879636934
648	0.0287400266
649	0.02867100329
650	0.02862773862
651	0.02861298435
652	0.02858373758
653	0.02849809667
654	0.02844262344
655	0.02838551665
656	0.02832497352
657	0.02828004972
658	0.0282266972
659	0.02821952823
660	0.02816220845
661	0.0281484579
662	0.02810013234
663	0.02804892638
664	0.02801166183
665	0.02783410028
666	0.02778122823
667	0.02767324532
668	0.02751153925
669	0.02738791273
670	0.02731587407
671	0.02724358688
672	0.02719718984
673	0.02715142729
674	0.02714361889
675	0.02706723869
676	0.02697125843
677	0.02693755891
678	0.02690173912
679	0.02686304396
680	0.02683245928
681	0.02679661984
682	0.02675500192
683	0.02665901197
684	0.02662511619
685	0.02659290872
686	0.02656223686
687	0.0265147636
688	0.0264860939
689	0.02647990113
690	0.02644836785
691	0.02640373544
692	0.02639529218
693	0.02633308036
694	0.02632713337
695	0.02631112054
696	0.02622682624
697	0.02611340824
698	0.02603002011
699	0.02600430963
700	0.02596020829
701	0.02588823242
702	0.02586216551
703	0.02583554874
704	0.02579362973
705	0.02575277478
706	0.02572678972
707	0.02569736469
708	0.02565948486
709	0.02565197805
710	0.02563759488
711	0.02561427761
712	0.02557411443
713	0.02549584532
714	0.02542754352
715	0.02538547948
716	0.02534777345
717	0.02531848342
718	0.02528490717
719	0.02526362721
720	0.02525675368
721	0.02517008384
722	0.02513334577
723	0.02504805023
724	0.02498463642
725	0.02493625925
726	0.02488611974
727	0.02486683257
728	0.02484540618
729	0.02479138138
730	0.02475323201
731	0.02472563264
732	0.02470808548
733	0.02464963177
734	0.02459779994
735	0.02455942328
736	0.02448011959
737	0.02443212427
738	0.02437422878
739	0.02436043871
740	0.0243294871
741	0.02427520441
742	0.02416467056
743	0.02414875242
744	0.02407287734
745	0.0239882215
746	0.02394100577
747	0.02391194828
748	0.02386662802
749	0.02379646112
750	0.02375610942
751	0.02373588566
752	0.0237022175
753	0.02363646009
754	0.02357973314
755	0.02354900155
756	0.02348960149
757	0.02340881809
758	0.02338269117
759	0.02334004231
760	0.0233233285
761	0.02330961469
762	0.02325395423
763	0.02321752578
764	0.02318507512
765	0.02315682292
766	0.02314447943
767	0.0231047935
768	0.022977139
769	0.02294439753
770	0.02290876067
771	0.02289007862
772	0.0228636699
773	0.02283874978
774	0.02280332118
775	0.02278520972
776	0.02270463213
777	0.0226307693
778	0.02259543877
779	0.02255986238
780	0.02254291269
781	0.02252653749
782	0.02251404259
783	0.02244954182
784	0.02240198774
785	0.02233296314
786	0.0222926014
787	0.0222679531
788	0.02220627451
789	0.02214509745
790	0.02211526667
791	0.02204810602
792	0.02202774476
793	0.02199559969
794	0.02198396197
795	0.02195571826
796	0.02193560696
797	0.02191547313
798	0.02189624807
799	0.02180254681
800	0.02179329535
801	0.02172430518
802	0.0216871687
803	0.02167949775
804	0.02165589769
805	0.02158799134
806	0.02156948524
807	0.0215621796
808	0.02153484497
809	0.0215156473
810	0.02147314047
811	0.02143896914
812	0.02137596896
813	0.02136682939
814	0.02127188519
815	0.02126531497
816	0.0212590343
817	0.02123854633
818	0.02116508997
819	0.0211350689
820	0.02112938282
821	0.02109793883
822	0.02107928314
823	0.02105071631
824	0.02099857877
825	0.02094379563
826	0.02090440503
827	0.02087214496
828	0.02083049015
829	0.02081906137
830	0.02075190714
831	0.02071551501
832	0.02068810296
833	0.02067053901
834	0.02064537904
835	0.02061526077
836	0.02055871204
837	0.02054651756
838	0.02051381661
839	0.02050400785
840	0.02045786001
841	0.0203579531
842	0.02033188934
843	0.02027977972
844	0.02023480195
845	0.0201954607
846	0.02017776863
847	0.02016354228
848	0.02015852226
849	0.02014499741
850	0.02013183685
851	0.02011862485
852	0.02009070014
853	0.02007945748
854	0.02002497511
855	0.01999553166
856	0.01994745363
857	0.01991038023
858	0.01989985437
859	0.0198846415
860	0.01986926135
861	0.01985110283
862	0.01983973514
863	0.0198252061
864	0.01981127234
865	0.01976691928
866	0.01976280195
867	0.01975203471
868	0.0196946221
869	0.01966763485
870	0.01964320862
871	0.01962906343
872	0.01961243755
873	0.01956358313
874	0.01954579762
875	0.01952264147
876	0.01949539093
877	0.01944309064
878	0.01937397671
879	0.01935727908
880	0.01930695997
881	0.01929877566
882	0.01928875828
883	0.01926816521
884	0.01923879796
885	0.01922149405
886	0.01920471662
887	0.01917797849
888	0.01916182076
889	0.01911397766
890	0.01906626565
891	0.01905677587
892	0.01902984162
893	0.01900048297
894	0.01897670786
895	0.01895262816
896	0.01892471201
897	0.01890495726
898	0.01887926502
899	0.01884817784
900	0.01880279823
901	0.01878176604
902	0.0187721512
903	0.01875618141
904	0.01874030504
905	0.01871612168
906	0.01868962768
907	0.01866286126
908	0.01857450749
909	0.01855192643
910	0.01854618436
911	0.01854188197
912	0.01850894268
913	0.01845093108
914	0.01843624658
915	0.01840629818
916	0.01839212348
917	0.0183836167
918	0.01835763858
919	0.01834202527
920	0.01831657291
921	0.01827464415
922	0.01820259324
923	0.0181957661
924	0.0181799108
925	0.01816413941
926	0.01815778232
927	0.01813859101
928	0.01812253802
929	0.01811678659
930	0.01808502526
931	0.01806923439
932	0.01805822809
933	0.01804388378
934	0.01803422234
935	0.01802244695
936	0.01800629389
937	0.0179848099
938	0.01797567343
939	0.01796434213
940	0.01795719311
941	0.01794464311
942	0.01793185927
943	0.01792324457
944	0.01791507044
945	0.01790944129
946	0.01786110686
947	0.01784276921
948	0.01782356405
949	0.01780913234
950	0.01777589291
951	0.01776487292
952	0.01775837465
953	0.01774564366
954	0.01772276131
955	0.01771742808
956	0.01766662779
957	0.01765452665
958	0.01761727812
959	0.01760524322
960	0.0175901055
961	0.0175797192
962	0.01755790505
963	0.0175529779
964	0.01753422575
965	0.01753114964
966	0.01751325516
967	0.01750172411
968	0.01747784962
969	0.01746079364
970	0.01744732444
971	0.01739985654
972	0.01739513354
973	0.01731326218
974	0.01730216481
975	0.0172758352
976	0.01727293737
977	0.01724880741
978	0.01721981899
979	0.01720350432
980	0.01718404901
981	0.01710748842
982	0.01707871288
983	0.01706294378
984	0.01704076213
985	0.01698402451
986	0.01695675601
987	0.016951384
988	0.01694539196
989	0.01693366768
990	0.01692843971
991	0.01688722477
992	0.01687094182
993	0.01686583825
994	0.01679602326
995	0.01677153103
996	0.0167099673
997	0.01669775598
998	0.01669286029
999	0.01664862909
