iter	Passed	Remaining
0	151	151017
1	182	90906
2	211	70132
3	236	58861
4	264	52617
5	293	48684
6	320	45409
7	350	43450
8	378	41717
9	402	39871
10	429	38633
11	459	37849
12	486	36900
13	513	36136
14	538	35390
15	565	34763
16	592	34268
17	621	33929
18	649	33509
19	675	33081
20	705	32888
21	730	32484
22	760	32284
23	785	31933
24	811	31650
25	842	31549
26	867	31257
27	895	31091
28	924	30948
29	957	30971
30	991	31004
31	1028	31113
32	1055	30926
33	1083	30779
34	1115	30755
35	1145	30686
36	1175	30605
37	1202	30449
38	1229	30304
39	1257	30188
40	1284	30049
41	1313	29962
42	1342	29876
43	1367	29722
44	1396	29635
45	1420	29451
46	1447	29350
47	1473	29221
48	1501	29142
49	1529	29069
50	1557	28986
51	1585	28907
52	1613	28821
53	1639	28724
54	1666	28633
55	1691	28521
56	1719	28442
57	1746	28362
58	1775	28316
59	1798	28183
60	1825	28104
61	1852	28029
62	1880	27967
63	1906	27876
64	1933	27806
65	1961	27752
66	1989	27706
67	2015	27629
68	2042	27564
69	2069	27490
70	2095	27412
71	2122	27360
72	2146	27256
73	2171	27175
74	2199	27121
75	2224	27044
76	2247	26943
77	2271	26846
78	2299	26803
79	2323	26716
80	2352	26687
81	2376	26604
82	2403	26556
83	2427	26475
84	2458	26462
85	2487	26431
86	2515	26394
87	2546	26392
88	2570	26308
89	2599	26287
90	2624	26217
91	2651	26167
92	2675	26090
93	2702	26051
94	2731	26019
95	2761	26001
96	2786	25939
97	2814	25909
98	2839	25841
99	2865	25785
100	2892	25741
101	2918	25697
102	2942	25627
103	2970	25589
104	2996	25539
105	3020	25470
106	3050	25459
107	3077	25414
108	3106	25391
109	3146	25461
110	3181	25478
111	3213	25476
112	3237	25411
113	3262	25354
114	3290	25318
115	3314	25259
116	3339	25202
117	3369	25182
118	3393	25120
119	3424	25112
120	3451	25076
121	3480	25050
122	3511	25040
123	3537	24987
124	3564	24952
125	3595	24938
126	3621	24891
127	3644	24827
128	3671	24791
129	3696	24735
130	3723	24701
131	3747	24644
132	3774	24606
133	3800	24562
134	3824	24503
135	3855	24490
136	3881	24450
137	3909	24421
138	3935	24374
139	3963	24344
140	3993	24327
